country,doubling time in the last five days,doubling time in the five days before that,continent,change in doubling time,new confirmed cases in the last five days,new confirmed cases in the five days before that,change in confirmed cases
:ad: Andorra,2961.470990953935,1478.1356853778223,Europe,▼▼,1,2,▼
:ae: United Arab Emirates,78.3872430374741,72.88479240710741,Asia,~,1943,1996,▼
:af: Afghanistan,37.847333054156785,24.8887738603402,Asia,▼,2523,3420,▼
:al: Albania,21.668454142240236,18.403403786619574,Europe,▼,290,287,~
:am: Armenia,23.501107150286042,19.71008237915809,Asia,▼,2779,2820,~
:ao: Angola,16.326718661119752,15.299394636959384,Africa,~,35,30,▲
:ar: Argentina,15.39222389326728,15.648855585264915,South America,~,8626,6786,▲
:at: Austria,393.6548939007184,382.6034477404863,Europe,~,152,155,~
:au: Australia,247.3295286871369,313.60312059362633,Oceania,▲,104,81,▲
:az: Azerbaijan,19.55867819931282,18.973775946302144,Asia,~,2067,1780,▲
:ba: Bosnia and Herzegovina,58.587035599841535,40.50248223408769,Europe,▼,188,253,▼
:bd: Bangladesh,20.05303089516401,18.142983337904496,Asia,▼,17825,16429,▲
:be: Belgium,529.5318466540122,467.8175672966596,Europe,▼,395,444,▼
:bf: Burkina Faso,389.4595019961413,1032.210706675274,Africa,▲▲,8,3,▲▲
:bg: Bulgaria,28.173424348234853,30.84282225889862,Europe,▲,452,367,▲
:bh: Bahrain,32.35120310099586,21.701810096339727,Asia,▼,2211,2886,▼
:bj: Benin,9.541374702505003,6.22962132747474,Africa,▼,233,227,~
:bo: Bolivia,16.970091903522658,16.74133617728079,South America,~,4505,3718,▲
:br: Brazil,21.664764899465652,24.80957411126446,South America,▲,160152,120361,▲
:by: Belarus,62.9077518499565,52.25707891991369,Europe,▼,3136,3553,▼
:ca: Canada,177.68948762126655,179.97362711161452,North America,~,1991,1928,~
:cd: Congo (Kinshasa),21.920287897545904,35.795972161446954,Africa,▲,852,459,▲
:cf: Central African Republic,22.674730307571313,16.44303624599115,Africa,▼,398,458,▼
:ch: Switzerland,784.134028527213,979.8255315486775,Europe,▲,138,110,▲
:cl: Chile,12.693580933449393,19.273021322653502,South America,▲,57906,30357,▲
:cm: Cameroon,18.535910454035808,27.1279786616614,Africa,▲,2028,1183,▲
:cn: China,2205.781712354643,1434.7363750069044,Asia,▼,131,201,▼
:co: Colombia,13.461169589513714,17.827580791059283,South America,▲,15625,9401,▲
:cr: Costa Rica,16.599378261676264,22.34818186135025,North America,▲,417,258,▲
:cu: Cuba,203.7181522166154,144.14199735468918,North America,▼,39,54,▼
:cv: Cabo Verde,26.527621225794757,20.04577028119485,Africa,▼,109,124,▼
:cy: Cyprus,3415.4824391481707,339.6391713995779,Europe,▼▼,1,10,▼▼
:cz: Czechia,92.26996779482849,135.1427556932098,Europe,▲,387,256,▲
:de: Germany,217.76526331568087,416.22226416813965,Europe,▲,3020,1561,▲
:dj: Djibouti,367.5667788125103,109.82521867502943,Africa,▼▼,43,141,▼▼
:dk: Denmark,307.74672177722056,198.95238932703992,Europe,▼,141,215,▼
:do: Dominican Republic,29.144007917298012,34.73873268194149,North America,▲,2991,2249,▲
:dz: Algeria,63.62828843137385,67.48627599303663,Africa,▲,624,558,▲
:ec: Ecuador,63.32543331950467,45.67821476007096,South America,▼,2697,3503,▼
:ee: Estonia,1142.5367265516957,682.7485068017003,Europe,▼,6,10,▼
:eg: Egypt,24.174363947914294,18.613912794921678,Africa,▼,7377,8130,▼
:es: Spain,437.31510671749726,520.6441865041579,Europe,▲,1944,1621,▲
:et: Ethiopia,15.616298162510274,11.283375500411498,Africa,▼,902,960,▼
:fi: Finland,796.8385066696443,511.77171247455186,Europe,▼,31,48,▼
:fr: France,254.85008863788062,361.5628402095933,Europe,▲,2661,1854,▲
:ga: Gabon,47.11938990330522,20.119153163462983,Africa,▼▼,314,651,▼▼
:gb: United Kingdom,169.11925580563044,152.31612092429745,Europe,▼,6203,6740,▼
:ge: Georgia,114.55308799340457,61.717203391264235,Asia,▼,27,48,▼
:gh: Ghana,23.23887767197469,21.24877605172987,Africa,~,1961,1835,▲
:gn: Guinea,47.77939573535365,58.46555159526066,Africa,▲,349,267,▲
:gr: Greece,94.18102525265651,180.09718465175908,Europe,▲,118,60,▲
:gt: Guatemala,16.88649596098174,15.5005919232272,North America,~,2439,2145,▲
:gw: Guinea-Bissau,107.2516572239394,48.44917285180853,Africa,▼▼,49,103,▼▼
:gy: Guyana,47.29946487850934,43.83205541792052,South America,~,13,13,~
:hk: Hong Kong,204.56472882313153,769.0454952913053,Asia,▲▲,19,5,▲▲
:hn: Honduras,12.402394270966552,15.042696899314912,North America,▲,3113,1987,▲
:hr: Croatia,127.77720326196838,1300.8054393709108,Europe,▲▲,62,6,▲▲
:ht: Haiti,31.43443052196772,24.230293869266227,North America,▼,530,606,▼
:hu: Hungary,832.8966824080306,370.10140848019734,Europe,▼▼,17,38,▼▼
:id: Indonesia,27.195203407890947,25.655304239572533,Asia,~,5491,5105,▲
:ie: Ireland,1952.8646523227842,912.8592997385077,Europe,▼▼,45,96,▼▼
:il: Israel,54.37581862044129,71.21692377633181,Asia,▲,1283,926,▲
:in: India,18.9103438712155,19.92390261786366,Asia,▲,71217,56530,▲
:iq: Iraq,11.275998449213828,11.23581527490322,Asia,~,8168,6025,▲
:ir: Iran,55.01466315176274,52.54611854905447,Asia,~,12513,12283,~
:is: Iceland,572.6323432443209,1254.249025181044,Europe,▲▲,11,5,▲▲
:it: Italy,825.6678687960359,604.3864456633395,Europe,▼,999,1358,▼
:jm: Jamaica,58.353136684694014,213.4846430345498,North America,▲▲,38,10,▲▲
:jo: Jordan,67.1003922885594,35.60041515060265,Asia,▼,52,91,▼
:jp: Japan,206.4406090042821,202.28550553078628,Asia,~,296,297,~
:ke: Kenya,16.91032465508729,18.955038312244824,Africa,▲,878,645,▲
:kg: Kyrgyzstan,12.837885438868815,20.640922716882802,Asia,▲,794,396,▲▲
:kh: Cambodia,445.3448159417392,220.06968154273756,Asia,▼▼,1,2,▼
:km: Comoros,15.322598363923086,17.71781649296619,Africa,▲,50,35,▲
:kr: South Korea,177.8732679606406,215.05758823654554,Asia,▲,240,195,▲
:kw: Kuwait,49.2930493388172,48.953998100986034,Asia,~,2692,2526,▲
:kz: Kazakhstan,26.29045367067463,30.488480985490842,Asia,▲,2190,1670,▲
:lb: Lebanon,46.492296713032665,70.15468164752933,Asia,▲,114,71,▲
:lk: Sri Lanka,191.35290149753723,172.91619226677403,Asia,▼,35,38,▼
:lr: Liberia,16.750587059990668,16.023497031908715,Africa,~,117,99,▲
:lt: Lithuania,281.5087197459877,254.72765940150126,Europe,▼,22,24,▼
:lu: Luxembourg,315.5713361983296,612.3034888053646,Europe,▲,45,23,▲
:lv: Latvia,294.45085485340906,949.6105833102822,Europe,▲▲,13,4,▲▲
:ly: Libya,20.96579363739071,16.64016803020017,Africa,▼,87,91,▼
:ma: Morocco,31.292175553800018,76.81371425362437,Africa,▲▲,1046,394,▲▲
:md: Moldova,23.514122240398045,26.0408393621608,Europe,▲,1946,1527,▲
:me: Montenegro,33.08678541976681,563.1803069000031,Europe,▲▲,36,2,▲▲
:mg: Madagascar,18.03717278274719,38.27935725958697,Africa,▲▲,279,114,▲▲
:ml: Mali,137.82794277380054,38.32023091240889,Africa,▼▼,48,163,▼▼
:mn: Mongolia,44.38219072136675,Inf,Asia,▲▲,16,0,▲▲
:mr: Mauritania,9.316091875373512,9.699787657465208,Africa,~,927,618,▲
:mt: Malta,254.34257168516652,140.35517262969364,Europe,▼,9,16,▼
:mv: Maldives,68.29849737574015,59.75250844697686,Asia,▼,109,118,▼
:mw: Malawi,13.43359085961004,21.77147824833002,Africa,▲,166,83,▲▲
:mx: Mexico,22.587030717955244,23.918930392478774,North America,▲,25682,20889,▲
:my: Malaysia,441.67215174349326,214.9983871674938,Asia,▼▼,67,136,▼▼
:mz: Mozambique,24.96794435921686,13.03026810212185,Africa,▼,95,149,▼
:ne: Niger,177.78662182060793,82.09274140849361,Africa,▼▼,20,42,▼▼
:ng: Nigeria,20.88083225082345,21.130515862430812,Africa,~,3096,2594,▲
:nl: Netherlands,339.3651978027618,202.37622593642823,Europe,▼,506,837,▼
:no: Norway,354.82737547416707,575.4437179710228,Europe,▲,85,52,▲
:np: Nepal,11.02318509000506,9.718562737296192,Asia,▼,2435,1977,▲
:nz: New Zealand,747.3598528764668,2607.965883054361,Oceania,▲▲,7,2,▲▲
:om: Oman,22.529886101605193,14.676072990302053,Asia,▼,4202,5315,▼
:pa: Panama,20.394355837656263,20.76471215550058,North America,~,4068,3376,▲
:pe: Peru,59.671253507114635,34.983878506335,South America,▼,14182,22368,▼
:ph: Philippines,30.074975298885796,33.85379203911487,Asia,▲,3271,2606,▲
:pk: Pakistan,22.05963645113246,16.81371654138845,Asia,▼,26328,28827,▼
:pl: Poland,61.997769800863075,50.72879427699647,Europe,▼,1736,1994,▼
:pt: Portugal,73.72636803482138,88.9969202138926,Europe,▲,1797,1426,▲
:py: Paraguay,61.13562633395032,60.11149359016698,South America,~,76,73,~
:qa: Qatar,55.467129857359524,38.84330871608596,Asia,▼,5292,7006,▼
:ro: Romania,49.3717802244364,61.25522892211642,Europe,▲,1630,1233,▲
:rs: Serbia,93.74192201144454,131.17689155056362,Europe,▲,468,324,▲
:ru: Russia,49.92942834753595,42.22416283330898,Europe,▼,39154,42925,▼
:rw: Rwanda,25.652643668835882,13.71682941205431,Africa,▼,92,142,▼
:sa: Saudi Arabia,23.873977120660847,21.499979184467406,Asia,▼,21297,20294,~
:sd: Sudan,33.63739715982484,24.785965561467165,Africa,▼,840,1010,▼
:se: Sweden,69.66093928739939,34.942251870265814,Europe,▼,2720,5035,▼
:sg: Singapore,127.82426850846706,88.00780336529922,Asia,▼,1126,1582,▼
:si: Slovenia,249.11637943048146,470.5502883549936,Europe,▲,21,11,▲
:sk: Slovakia,155.40705925042863,487.2489069692605,Europe,▲▲,35,11,▲▲
:sl: Sierra Leone,43.33257994606731,28.557279409108467,Africa,▼,102,140,▼
:sm: San Marino,1204.3423951106977,800.0061197265252,Europe,▼,2,3,▼
:sn: Senegal,30.068879127654107,35.50270594792425,Africa,▲,641,488,▲
:so: Somalia,77.85163138695255,61.78145587784344,Africa,▼,121,145,▼
:sr: Suriname,12.136579251029344,10.197305074269455,South America,▼,78,68,▲
:ss: South Sudan,54.77620759256615,56.316783898915155,Africa,~,116,106,▲
:st: Sao Tome and Principe,87.8514298640422,57.87826966689859,Africa,▼,27,39,▼
:sv: El Salvador,21.62596865188914,22.268795565309514,North America,~,685,568,▲
:sy: Syria,24.411703351021607,45.432429994670635,Asia,▲,27,13,▲▲
:sz: Eswatini,17.346356551324668,23.60760255653601,Africa,▲,115,71,▲
:td: Chad,592.9857249971805,589.5199791709313,Africa,~,5,5,~
:tg: Togo,59.87553242844265,141.42160668321316,Africa,▲▲,32,13,▲▲
:th: Thailand,837.5072155188983,1084.7744148557665,Asia,▲,13,10,▲
:tj: Tajikistan,61.9294915417662,53.104718204018496,Asia,▼,297,326,▼
:tn: Tunisia,123.56704548001525,100.86123171261465,Africa,▼,32,38,▼
:tr: Turkey,100.09941283857268,84.6238248703527,Asia,▼,6387,7275,▼
:ua: Ukraine,29.418896198727065,31.090674774670045,Europe,▲,4152,3503,▲
:ug: Uganda,56.26274797886895,54.00844007956169,Africa,~,46,45,~
:us: United States,53.83467953981378,63.16057355154521,North America,▲,142148,114141,▲
:uy: Uruguay,110.7019663651862,1469.4713416280701,South America,▲▲,27,2,▲▲
:uz: Uzbekistan,24.85232226269024,23.540168370743608,Asia,~,822,752,▲
:ve: Venezuela,15.90344447980642,30.72583642688689,South America,▲,767,336,▲▲
:vn: Vietnam,78.89056671194042,577.043293209422,Asia,▲▲,15,2,▲▲
:ye: Yemen,56.4861537938524,8.58340622738696,Asia,▼▼,56,294,▼▼
:za: South Africa,14.279852737219656,13.081705413070733,Africa,~,20968,17766,▲
:zm: Zambia,196.50213190894652,21.974571283332217,Africa,▼▼,25,205,▼▼
:zw: Zimbabwe,15.49590662146499,21.18775450185522,Africa,▲,98,59,▲
NA West Bank and Gaza,7.1782547972645965,64.22889153555532,Asia,▲▲,319,27,▲▲
