country,doubling time in the last five days,doubling time in the five days before that,continent,change in doubling time,new confirmed cases in the last five days,new confirmed cases in the five days before that,change in confirmed cases
:ad: Andorra,1479.868554122093,2954.5395183552196,Europe,▲,2,1,▲
:ae: United Arab Emirates,80.91003495355346,59.58080781862513,Asia,▼,1851,2390,▼
:af: Afghanistan,29.279800797417856,24.18051885032017,Asia,▼,3112,3307,▼
:al: Albania,18.307198287000187,21.966558594084834,Europe,▲,317,222,▲
:am: Armenia,24.89082834136657,17.51598067585282,Asia,▼,2490,2992,▼
:ar: Argentina,15.359428186930645,14.252951527517729,South America,~,7993,6816,▲
:at: Austria,367.7503656655136,454.38243349976403,Europe,▲,162,130,▲
:au: Australia,336.21900730616994,415.00525864524,Oceania,▲,76,61,▲
:az: Azerbaijan,20.750029185924305,17.751172428864255,Asia,▼,1810,1766,~
:ba: Bosnia and Herzegovina,28.082428582162827,59.01607532478186,Europe,▲▲,380,165,▲▲
:bd: Bangladesh,18.51598830714084,17.352510853375367,Asia,~,18015,15845,▲
:be: Belgium,467.15502175713607,349.69106108796984,Europe,▼,447,592,▼
:bf: Burkina Faso,518.1255856144596,1031.0554602877876,Africa,▲,6,3,▲
:bg: Bulgaria,26.215711164778945,26.66419506529893,Europe,~,465,401,▲
:bh: Bahrain,25.185129719712325,23.53309485232401,Asia,~,2689,2496,▲
:bj: Benin,8.986448190404387,9.341653910621654,Africa,~,208,137,▲
:bo: Bolivia,17.60185888324319,14.96940016812438,South America,▼,4017,3815,▲
:br: Brazil,19.874640456578607,21.690660202192813,South America,▲,165289,128121,▲
:bs: Bahamas,358.70087547481876,Inf,North America,▲▲,1,0,▲▲
:by: Belarus,57.38690433305643,48.693223801973915,Europe,▼,3360,3708,▼
:ca: Canada,183.9126336471085,159.13636124303108,North America,▼,1910,2163,▼
:cd: Congo (Kinshasa),25.383413082139423,30.140068631789433,Africa,▲,699,519,▲
:cf: Central African Republic,14.673876959608888,32.67620971911447,Africa,▲▲,548,207,▲▲
:cg: Congo (Brazzaville),17.95493392706188,Inf,Africa,▲▲,155,0,▲▲
:ch: Switzerland,915.6580806358019,834.2605375801677,Europe,~,118,129,▼
:cl: Chile,12.23000453167466,17.365155262026224,South America,▲,57100,31534,▲
:cm: Cameroon,17.047752422342704,79.7886074758525,Africa,▲▲,1957,369,▲▲
