Fecha;Indice
1/03/2020;0
2/03/2020;0
3/03/2020;0
4/03/2020;0
5/03/2020;14
6/03/2020;17
7/03/2020;17
8/03/2020;17
9/03/2020;17
10/03/2020;17
11/03/2020;20
12/03/2020;49
13/03/2020;49
14/03/2020;58
15/03/2020;72
16/03/2020;92
17/03/2020;92
18/03/2020;92
19/03/2020;92
20/03/2020;92
21/03/2020;92
22/03/2020;92
23/03/2020;92
24/03/2020;92
25/03/2020;92
26/03/2020;92
27/03/2020;92
28/03/2020;92
29/03/2020;92
30/03/2020;92
31/03/2020;92
1/04/2020;92
2/04/2020;92
3/04/2020;92
4/04/2020;92
5/04/2020;92
6/04/2020;92
7/04/2020;92
8/04/2020;92
9/04/2020;92
10/04/2020;92
11/04/2020;92
12/04/2020;92
13/04/2020;92
14/04/2020;92
15/04/2020;92
16/04/2020;92
17/04/2020;92
18/04/2020;92
19/04/2020;92
20/04/2020;92
21/04/2020;92
22/04/2020;92
23/04/2020;92
24/04/2020;92
25/04/2020;92
26/04/2020;92
27/04/2020;92
28/04/2020;92
29/04/2020;92
30/04/2020;92
1/05/2020;97
2/05/2020;97
3/05/2020;97
4/05/2020;97
5/05/2020;97
6/05/2020;97
7/05/2020;97
8/05/2020;97
9/05/2020;97
10/05/2020;97
11/05/2020;97
12/05/2020;97
13/05/2020;97
14/05/2020;97
15/05/2020;97
16/05/2020;97
17/05/2020;97
18/05/2020;97
